,Sector,Date,Adj_Close
0,Basic Materials,2010-01-04,35.18648955696508
1,Basic Materials,2010-01-05,35.16291066219932
2,Basic Materials,2010-01-06,35.71833665747391
3,Basic Materials,2010-01-07,35.58667388715242
4,Basic Materials,2010-01-08,35.734986104463275
5,Basic Materials,2010-01-11,35.688657660233346
6,Basic Materials,2010-01-12,35.09833406147204
7,Basic Materials,2010-01-13,35.384190258226894
8,Basic Materials,2010-01-14,35.04341005024157
9,Basic Materials,2010-01-15,34.760028186597324
10,Basic Materials,2010-01-19,35.27677194695724
11,Basic Materials,2010-01-20,34.81237190648129
12,Basic Materials,2010-01-21,33.70767342416864
13,Basic Materials,2010-01-22,33.006607356824375
14,Basic Materials,2010-01-25,33.23672786511873
15,Basic Materials,2010-01-26,33.065800967969395
16,Basic Materials,2010-01-27,32.80031118894878
17,Basic Materials,2010-01-28,32.15343299664949
18,Basic Materials,2010-01-29,31.661189380444977
19,Basic Materials,2010-02-01,32.62009961981522
20,Basic Materials,2010-02-02,32.8894486678274
21,Basic Materials,2010-02-03,32.7130957653648
22,Basic Materials,2010-02-04,31.457743343554046
23,Basic Materials,2010-02-05,31.621477779589203
24,Basic Materials,2010-02-08,31.383829668948525
25,Basic Materials,2010-02-09,31.789575376008685
26,Basic Materials,2010-02-10,31.81081395400198
27,Basic Materials,2010-02-11,32.16189896432977
28,Basic Materials,2010-02-12,32.250793406837865
29,Basic Materials,2010-02-16,32.936889698630885
30,Basic Materials,2010-02-17,33.02353296781841
31,Basic Materials,2010-02-18,33.243004045988386
32,Basic Materials,2010-02-19,33.389669970462194
33,Basic Materials,2010-02-22,33.30211488824142
34,Basic Materials,2010-02-23,32.72931937167519
35,Basic Materials,2010-02-24,32.74213203630949
36,Basic Materials,2010-02-25,32.78430230993973
37,Basic Materials,2010-02-26,32.71817809657047
38,Basic Materials,2010-03-01,33.09562442177221
39,Basic Materials,2010-03-02,33.45566819843493
40,Basic Materials,2010-03-03,33.73013039639122
41,Basic Materials,2010-03-04,33.74935998414692
42,Basic Materials,2010-03-05,34.36162185668945
43,Basic Materials,2010-03-08,34.38714579532021
44,Basic Materials,2010-03-09,34.23479060122841
45,Basic Materials,2010-03-10,34.221717834472656
46,Basic Materials,2010-03-11,34.30969705079731
47,Basic Materials,2010-03-12,34.582535994680306
48,Basic Materials,2010-03-15,34.477005306043125
49,Basic Materials,2010-03-16,34.91451238331042
50,Basic Materials,2010-03-17,35.353883040578744
51,Basic Materials,2010-03-18,34.95540704225239
52,Basic Materials,2010-03-19,34.61598742635626
53,Basic Materials,2010-03-22,35.06196147517154
54,Basic Materials,2010-03-23,35.329697608947754
55,Basic Materials,2010-03-24,35.14012738278038
56,Basic Materials,2010-03-25,34.43681275217157
57,Basic Materials,2010-03-26,34.623290262724225
58,Basic Materials,2010-03-29,35.061084044607064
59,Basic Materials,2010-03-30,35.12230155342504
60,Basic Materials,2010-03-31,35.032639704252546
61,Basic Materials,2010-04-01,35.542840104354056
62,Basic Materials,2010-04-05,35.894059683147226
63,Basic Materials,2010-04-06,35.87887543126156
64,Basic Materials,2010-04-07,35.749733573512025
65,Basic Materials,2010-04-08,35.860331987079825
66,Basic Materials,2010-04-09,36.10191480736984
67,Basic Materials,2010-04-12,36.03447040758635
68,Basic Materials,2010-04-13,36.00848594464754
69,Basic Materials,2010-04-14,36.369103481895046
70,Basic Materials,2010-04-15,36.5745960536756
71,Basic Materials,2010-04-16,36.207172544378984
72,Basic Materials,2010-04-19,36.115704235277676
73,Basic Materials,2010-04-20,36.439895378915885
74,Basic Materials,2010-04-21,36.34402270066111
75,Basic Materials,2010-04-22,36.79708410564222
76,Basic Materials,2010-04-23,37.302185711107754
77,Basic Materials,2010-04-26,37.24622686285721
78,Basic Materials,2010-04-27,36.272033741599635
79,Basic Materials,2010-04-28,35.2636332988739
80,Basic Materials,2010-04-29,35.824585390090945
81,Basic Materials,2010-04-30,35.30304899215698
82,Basic Materials,2010-05-03,35.64772901535034
83,Basic Materials,2010-05-04,34.29365501403809
84,Basic Materials,2010-05-05,33.82664804458618
85,Basic Materials,2010-05-06,32.898105669021604
86,Basic Materials,2010-05-07,32.46859188079834
87,Basic Materials,2010-05-10,34.0064172744751
88,Basic Materials,2010-05-11,33.722836923599246
89,Basic Materials,2010-05-12,34.410963439941405
90,Basic Materials,2010-05-13,33.956888103485106
91,Basic Materials,2010-05-14,33.264891386032104
92,Basic Materials,2010-05-17,33.29142432212829
93,Basic Materials,2010-05-18,33.005500078201294
94,Basic Materials,2010-05-19,32.66471734046936
95,Basic Materials,2010-05-20,31.263578176498413
96,Basic Materials,2010-05-21,31.891839599609376
97,Basic Materials,2010-05-24,31.559538459777833
98,Basic Materials,2010-05-25,31.896603870391846
99,Basic Materials,2010-05-26,31.976444005966187
100,Basic Materials,2010-05-27,33.24261951446533
101,Basic Materials,2010-05-28,32.63176512718201
102,Basic Materials,2010-06-01,31.880671977996826
103,Basic Materials,2010-06-02,32.785586500167845
104,Basic Materials,2010-06-03,32.54463801383972
105,Basic Materials,2010-06-04,31.21464159488678
106,Basic Materials,2010-06-07,30.7557651758194
107,Basic Materials,2010-06-08,31.14041600227356
108,Basic Materials,2010-06-09,31.110189890861513
109,Basic Materials,2010-06-10,32.14496250152588
110,Basic Materials,2010-06-11,32.381981992721556
111,Basic Materials,2010-06-14,32.140359830856326
112,Basic Materials,2010-06-15,32.86809258460998
113,Basic Materials,2010-06-16,32.88648791313172
114,Basic Materials,2010-06-17,32.77527828216553
115,Basic Materials,2010-06-18,32.908555841445924
116,Basic Materials,2010-06-21,32.98722252845764
117,Basic Materials,2010-06-22,32.34699432849884
118,Basic Materials,2010-06-23,32.29812426567078
119,Basic Materials,2010-06-24,31.579258513450622
120,Basic Materials,2010-06-25,31.86992201805115
121,Basic Materials,2010-06-28,31.650676584243776
122,Basic Materials,2010-06-29,30.693197393417357
123,Basic Materials,2010-06-30,30.388605260848998
124,Basic Materials,2010-07-01,30.260434889793395
125,Basic Materials,2010-07-02,30.19161765575409
126,Basic Materials,2010-07-06,30.31962842941284
127,Basic Materials,2010-07-07,31.263278245925903
128,Basic Materials,2010-07-08,31.700097727775574
129,Basic Materials,2010-07-09,32.1650949716568
130,Basic Materials,2010-07-12,31.63621747493744
131,Basic Materials,2010-07-13,32.32171380519867
132,Basic Materials,2010-07-14,32.13683865070343
133,Basic Materials,2010-07-15,32.07537939548492
134,Basic Materials,2010-07-16,31.229326367378235
135,Basic Materials,2010-07-19,31.24670078754425
136,Basic Materials,2010-07-20,32.04832789897919
137,Basic Materials,2010-07-21,31.84746026992798
138,Basic Materials,2010-07-22,32.51638536453247
139,Basic Materials,2010-07-23,33.05694499015808
140,Basic Materials,2010-07-26,33.34530906677246
141,Basic Materials,2010-07-27,32.898083209991455
142,Basic Materials,2010-07-28,32.839137411117555
143,Basic Materials,2010-07-29,32.80488572120667
144,Basic Materials,2010-07-30,32.9967544555664
145,Basic Materials,2010-08-02,33.73646750450134
146,Basic Materials,2010-08-03,33.01311278343201
