,Date,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
0,2010-01-04,35.18648955696508,13.198846880594889,42.563727363944054,22.531680562916925,34.1370071305169,28.236438562793115,31.08168534985904,26.96512034907937,27.226281856668407,23.11804747581482,18.306925378996752
1,2010-01-05,35.16291066219932,14.614696890115738,42.92068453629812,22.60829732698553,34.318939950731064,28.437445240636027,30.97045937488819,27.074412066489458,27.32203975217096,23.097076138512033,18.130498327057936
2,2010-01-06,35.71833665747391,14.484376281499863,42.707283318042755,22.722511915599597,34.71741167704264,28.385138623176083,30.995677286180957,27.17383051663637,27.270951419041076,23.085984628708637,18.228688092067323
3,2010-01-07,35.58667388715242,14.431825041770935,43.17442970474561,22.724880926749286,34.64572472042508,28.775264013198115,31.228456172449835,27.426486160606146,27.347675241273024,23.04776948983552,18.14354362981073
4,2010-01-08,35.734986104463275,14.368751287460327,43.190108463168144,22.639058246332056,34.8910616768731,28.782389556207963,31.26395146189065,27.719994381070137,27.16382784679018,23.195699336098844,18.128643718259088
5,2010-01-11,35.688657660233346,14.341150015592575,43.012851133942604,22.64721777158625,34.7756142616272,28.766646885102794,31.538045891400042,27.955836720764637,27.295714181045007,23.137619276515775,18.350684355045185
6,2010-01-12,35.09833406147204,13.967254102230072,42.76829263071219,22.704670260934268,34.114385816786026,28.516734453939623,31.344999251694514,27.66668849438429,26.78996156824046,22.718194826704558,18.31087092695565
7,2010-01-13,35.384190258226894,14.054962784051895,43.09682910144329,22.81032930402195,34.41330856747098,28.778836969406374,31.745490801745447,27.83945146948099,27.2404880359255,22.975514642527845,18.46661427925373
8,2010-01-14,35.04341005024157,13.901492178440094,43.229486947258316,22.83052940929637,34.51275618871053,28.80670004890811,31.848928266558154,27.85727235674858,27.22597413227476,22.96166944112934,18.43120789527893
9,2010-01-15,34.760028186597324,13.759667783975601,42.8400282561779,22.76486799296211,34.19561513264974,28.406931488744675,31.548214308146772,27.475362800061703,27.030256846855426,22.631391615164084,18.314878710385027
10,2010-01-19,35.27677194695724,13.837076336145401,43.38830238580704,22.896987136672525,34.481167793273926,28.794721618775398,32.08086320449566,27.78084732219577,27.505451958754968,22.950820395203888,18.51881085593125
11,2010-01-20,34.81237190648129,13.749664306640625,42.902439365784325,22.688150924794815,33.90997627046373,28.852329765596696,31.7565842579151,27.474652532488108,27.271094272876606,22.598354658142465,18.33180419329939
12,2010-01-21,33.70767342416864,13.58416011929512,42.65626402199268,22.402539260247174,33.33934264712863,28.351945915529804,31.240103022805577,26.949373688548803,26.70503887636908,22.396340921276906,18.063772382407354
13,2010-01-22,33.006607356824375,13.348584711551666,42.05078138907751,22.275446576230667,32.433085918426514,27.588671857310878,30.91974811307315,26.47116892412305,25.98564547505872,21.58319163908724,17.7194190683036
14,2010-01-25,33.23672786511873,13.397159725427628,41.97782467802366,22.303560439278098,32.821435663435196,27.65046964922259,30.92974979713045,26.5567337423563,26.20175371498897,21.702617569047895,17.828256977015528
15,2010-01-26,33.065800967969395,13.41575899720192,42.039360066254936,22.33477685732,32.5576606326633,27.2672482152139,30.834418798315113,26.43432756513357,26.043108775697906,21.655257180088856,17.867331998101598
16,2010-01-27,32.80031118894878,13.369419574737549,41.75677568217119,22.354080571847803,32.3483043246799,27.821965917464226,30.813081737222344,26.53936431929469,26.23271448858853,21.782723950558022,17.767231193082086
17,2010-01-28,32.15343299664949,13.364023923873901,41.072838202118874,22.269575048895444,32.114736557006836,27.519676408460064,30.595431599123724,26.159471541643143,25.96596050262451,21.247047694002994,17.595083746416815
18,2010-01-29,31.661189380444977,13.273559093475342,40.89604247113069,22.14015598156873,31.63091320461697,27.30280060152854,30.387389433795008,25.880867794156075,25.79652579077359,20.896731095235857,17.490088693026838
19,2010-02-01,32.62009961981522,13.399107933044434,41.39261903862158,22.316049225190106,32.67765114042494,27.64231227674792,30.58380012265567,26.353691559284925,26.18934628059124,21.308728544438473,17.596256584956727
20,2010-02-02,32.8894486678274,13.487245351076126,41.93766078849634,22.628532339544858,33.23607767952813,27.879602105386795,31.150391718436932,26.75796176120639,26.5352927487472,21.484295876299747,17.731443807996552
21,2010-02-03,32.7130957653648,13.59015303850174,41.55227543413639,22.552163748180163,32.901845667097305,27.6855271093307,30.932288819345935,26.659910265356302,26.109741367142774,21.524555593240457,17.628583899859724
22,2010-02-04,31.457743343554046,13.27280455827713,40.605432480573654,21.997281333979437,31.46567127439711,26.756079012347804,30.055527243120917,25.86741791665554,25.152736006111933,20.83125813476375,17.18137944977859
23,2010-02-05,31.621477779589203,13.314856708049774,40.295032088955246,22.007842274273145,31.35832420984904,26.950166140833208,30.047113278816486,25.75706296041608,25.435386082221722,20.977818238930624,17.159669974754596
24,2010-02-08,31.383829668948525,13.215643525123596,40.79306083420912,21.87492285055273,31.115180916256374,26.560153741990366,29.982215943007635,25.5743273422122,25.026257062780445,20.833069854095335,16.982964499243373
25,2010-02-09,31.789575376008685,13.284219473600388,41.26165221631527,22.128482797566583,31.771365483601887,26.85568860653908,30.289812622399165,26.115094151347876,25.055162832654755,21.107860442067757,17.144344831335133
26,2010-02-10,31.81081395400198,13.204867482185364,41.000623404979706,22.081729327931125,31.5246000289917,27.025540228812925,30.146495946522418,25.98967431113124,25.063467527257984,21.027277936700916,17.0775313541807
27,2010-02-11,32.16189896432977,13.294153690338135,41.45421161254247,22.253465435084173,32.12335432900323,27.0484770805605,30.42669585244409,26.125097968028143,25.39079010897669,21.418819333686205,17.189589171574035
